clientid_cr,algo_cr,pubclientid_cr,siteId_cr,goalid_cr,ispDimId_cr,osVerDimId_cr,conversion_fraud
82122,21,2501,26,8628,186936,199452,0
25470,21,1,3296,10553,266906,199414,0
77713,37,15240,178,7229,280429,199414,0
32847,37,13539,1217,607,136127,0,0
67368,21,1,3296,8784,136127,360956,0
85572,38,15240,178,10346,266737,199452,0
75694,26,2658,3,6384,166358,199452,0
75694,38,85030,3290,6384,266906,199522,0
86495,1,15240,178,10614,170706,199414,0
30431,21,1,3296,3370,136127,360956,0
29892,33,2658,3,469,266913,199452,0
7750,37,15240,283,1589,162894,360833,0
75694,38,2658,3,6384,280429,199414,0
75694,26,15240,178,6384,163485,199414,0
75694,38,15240,178,6384,136127,199452,0
75694,21,2310,16,6384,281745,199452,0
75694,18,85030,3290,6384,0,199452,0
75694,1,16951,568,6384,151879,199452,0
75694,39,2308,4,6384,161223,199414,0
2139,39,16153,1057,722,280429,360956,0
31365,2,13539,205,4265,133765,199452,0
2139,2,77853,2958,722,266913,199452,0
85572,18,2308,4,10346,153317,199414,0
30431,21,1,3296,3370,280429,359921,0
75694,38,15240,178,6384,273302,199452,0
75694,21,15336,379,6384,136127,199414,0
75694,38,85030,3290,6384,266737,0,0
75694,18,15336,2116,6384,280429,361320,0
75694,38,15240,178,6384,280429,0,0
75694,38,2658,3,6384,266906,199414,0
75694,38,85030,3290,6384,136127,199414,0
75694,18,65615,2608,6384,280429,199452,0
3180,33,76969,2923,4405,136127,360833,0
2139,1,13540,1219,722,280429,359919,0
32847,37,8359,1215,607,136127,359921,0
75694,39,2658,3,6384,133765,199414,0
75694,20,2308,4,6384,266906,199414,0
75694,20,85030,3290,6384,266737,199414,0
8895,37,15240,179,405,280429,360833,0
83515,39,2310,49,9115,266906,359919,0
2139,18,2310,767,722,280429,359919,0
75694,39,2658,3,6384,136127,199452,0
75694,21,85030,3290,6384,136127,199452,0
75694,38,85030,3290,6384,266913,199452,0
75694,38,2658,3,6384,133765,199414,0
75694,39,15240,178,6384,147570,199452,0
75694,18,85030,3290,6384,136528,199452,0
75694,18,12755,187,6384,285819,199414,0
2139,1,2310,16,722,273302,199414,0
75694,39,2308,4,6384,280429,199452,0
32847,39,16153,2627,607,136127,360956,0
2139,33,2658,3,722,266906,199452,0
82122,6,2658,3,8628,189415,199452,0
75694,38,2308,4,6384,265493,199522,0
29892,18,76969,2923,469,266737,359921,0
8895,37,76969,2923,405,151879,359921,0
7750,6,2658,667,1589,136127,359919,0
29892,33,65615,2608,469,280693,360145,0
75694,20,15240,178,6384,133765,199414,0
75694,18,85030,3290,6384,266906,199452,0
75694,18,65594,2602,6384,266906,199414,0
7750,33,2310,767,1589,146453,359919,0
85572,33,65594,2602,10346,266906,199452,0
29892,33,76969,2923,469,0,360833,0
75694,1,15240,178,6384,183263,199522,0
2139,33,2308,4,722,280429,199414,0
3180,33,2658,39,4405,136127,359919,0
75694,38,2658,3,6384,277934,199452,0
30431,21,1,3296,3370,136127,360833,0
64588,21,1,3296,7243,280429,359921,0
75694,1,2310,16,6384,180916,199452,0
85572,18,85030,3290,10346,266906,199414,0
75694,1,15240,178,6384,277934,199414,0
75694,38,85030,3290,6384,133765,199625,0
75694,21,2310,16,6384,0,199452,0
85572,18,16505,494,10346,266737,199522,0
75694,37,15240,178,6384,180305,199452,0
75694,38,2658,3,6384,280429,199452,0
25470,21,1,3296,10553,280429,199414,0
75694,20,15240,178,6384,280429,199452,0
82122,2,2658,3,8628,150733,0,0
75694,39,85030,3290,6384,133765,199414,0
82122,18,2658,3,8628,150733,0,0
7750,1,16153,1043,1589,266737,359921,0
84618,18,2310,767,9836,280429,360833,0
75694,1,15240,178,6384,134237,199414,0
75694,38,85030,3290,6384,280429,199452,0
75694,20,85030,3290,6384,165748,199452,0
86431,18,16153,1057,10549,280429,359921,0
75694,38,2308,4,6384,148498,199452,0
29892,33,2658,667,469,266737,360833,0
75694,18,85030,3290,6384,266257,199452,0
86321,37,16153,2627,10517,280429,206071,0
75694,38,85030,3290,6384,280429,199414,0
75694,38,15240,178,6384,266906,199414,0
32847,1,65594,2604,607,266906,360833,0
75694,38,2308,4,6384,136127,199452,0
43386,18,85030,3290,8681,147958,199452,0
75694,18,85030,3290,6384,147958,199452,0
75694,20,15240,178,6384,273302,199452,0
24075,18,16211,535,4077,280429,359921,0
32847,37,8359,1215,607,136127,360788,0
75694,20,15240,178,6384,133765,199452,0
75694,26,2308,4,6384,190212,199414,0
75694,37,15240,178,6384,285749,199414,0
75694,38,2658,3,6384,266913,199452,0
77713,21,15240,178,7229,280429,199452,0
66839,21,1,3296,4245,280429,360833,0
67368,20,16153,1043,8784,280429,360956,0
75694,38,15240,178,6384,172542,199414,0
29892,18,38513,2558,469,285107,199452,0
29892,18,83084,3192,469,266737,359921,0
82122,33,2658,3,8628,135885,199414,0
32847,1,16258,2607,607,187725,359919,0
75694,39,85030,3290,6384,136127,199452,0
82122,18,2658,3,8628,135885,199452,0
70668,21,1,3296,10319,280429,359921,0
75694,18,82030,3130,6384,133765,199414,0
29892,18,13540,1219,469,280429,360833,0
75694,37,15240,178,6384,266913,199625,0
75694,37,15240,178,6384,266906,199414,0
75694,38,2308,4,6384,0,199414,0
75694,1,16892,549,6384,265493,199452,0
29892,33,2310,767,469,280429,360788,0
7750,6,76969,2923,1589,266737,359921,0
3180,21,16153,2627,4405,280429,0,0
75694,21,65594,2602,6384,266906,199452,0
83515,38,2310,767,9115,136127,360833,0
82122,21,2658,3,8628,265618,0,0
82122,6,2658,3,8628,265618,0,0
75694,39,2658,3,6384,280429,199452,0
75694,38,2658,3,6384,136127,199414,0
25470,39,15240,179,10553,280429,206070,0
30431,21,1,3296,3370,280429,360833,0
75694,38,15240,178,6384,151402,199414,0
29892,33,2658,667,469,280429,360833,0
75694,39,85030,3290,6384,280429,199414,0
82122,33,15240,178,8628,265611,199452,0
7750,37,15240,179,1589,280429,360833,0
75694,38,15240,178,6384,280429,199452,0
29892,33,2658,667,469,136127,360788,0
75694,20,15240,178,6384,280429,199414,0
75694,38,2658,3,6384,180933,199452,0
75694,38,2658,3,6384,133765,199452,0
75694,26,15240,178,6384,266906,199414,0
75694,38,2658,3,6384,164681,199452,0
75694,37,15240,178,6384,280043,199452,0
85572,38,15240,178,10346,266906,199414,0
77616,38,76969,2923,9968,165128,360833,0
75694,18,85030,3290,6384,136127,199414,0
86321,38,16153,2627,10517,280429,359919,0
75694,1,65594,2602,6384,280429,199414,0
75694,20,15240,178,6384,136127,199452,0
802,37,15240,283,10223,136127,360788,0
75694,38,85030,3290,6384,133765,360143,0
1465,18,2310,767,280,136127,360833,0
75694,38,2308,4,6384,266913,199452,0
75694,38,2658,3,6384,282855,199452,0
67615,37,2658,39,8973,136127,360956,0
25470,2,15240,283,10553,136127,360833,0
75694,38,15240,178,6384,281560,199625,0
83515,38,2310,767,9115,187725,359921,0
75694,18,15336,379,6384,136127,199452,0
75694,38,15240,178,6384,180303,199452,0
77339,1,2658,3,7803,267285,206070,0
25470,39,15240,179,10553,280429,359921,0
30431,21,1,3296,3370,187725,206071,0
26329,1,2310,767,6031,280429,359921,0
75694,38,2501,26,6384,134237,360140,0
86431,1,2308,74,10549,280429,359921,0
29892,1,2658,667,469,187725,360833,0
25470,39,15240,179,10553,136127,359919,0
29892,18,65615,2608,469,186936,199452,0
82122,18,2658,3,8628,272343,0,0
75694,1,15240,178,6384,266906,199522,0
85524,20,76969,2923,10063,280429,360833,0
75694,38,2308,4,6384,280429,199452,0
25470,18,76969,2923,10553,273302,360833,0
75694,38,2308,4,6384,280429,199414,0
2139,18,2310,767,722,280429,360833,0
30431,21,1,3296,3370,280429,360956,0
75694,38,15240,178,6384,266906,199452,0
75694,38,15240,178,6384,187725,199452,0
70668,21,1,3296,10319,154900,360833,0
26329,18,2310,49,6031,187725,360833,0
67615,38,2658,667,8973,280429,359921,0
75694,37,15240,178,6384,0,199452,0
8895,1,76972,2925,405,280429,359921,0
75694,38,2308,4,6384,266906,199414,0
29892,33,76969,2923,469,266913,359919,0
83515,38,2310,767,9115,136127,360831,0
64588,21,1,3296,7243,133765,360833,0
25470,2,2658,3,10553,280429,199452,0
75694,38,15240,178,6384,136127,360147,0
85572,18,2658,3,10346,0,360138,0
75694,38,85030,3290,6384,136127,199522,0
25470,39,15240,179,10553,136127,359921,0
29892,18,83084,3192,469,151879,360833,0
75694,18,85030,3290,6384,266906,199414,0
25470,38,15240,179,10553,280429,360833,0
75694,39,85030,3290,6384,267504,199414,0
7750,33,38513,2558,1589,149453,0,0
25470,38,76969,2923,10553,136127,359921,0
78510,38,2658,667,7485,162894,206064,0
75694,1,15240,178,6384,133765,199452,0
75694,18,2658,3,6384,178145,199414,0
75694,38,15240,178,6384,151402,199522,0
7750,18,76969,2923,1589,282895,359919,0
32847,37,85030,3291,607,187725,360751,0
75694,38,85030,3290,6384,266906,199505,0
8895,39,15240,179,405,280429,359921,0
75694,39,2658,3,6384,178143,199414,0
75694,21,15240,178,6384,284796,199452,0
75694,1,65594,2602,6384,266906,199452,0
75694,18,85030,3290,6384,172725,199452,0
75694,38,2658,3,6384,0,199452,0
85572,18,2658,3,10346,266737,199452,0
29892,38,15240,179,469,280429,360833,0
75694,38,2658,3,6384,136127,199452,0
29892,18,76969,2923,469,266737,360833,0
8895,39,70348,2714,405,155404,199452,0
75694,2,77853,2958,6384,0,199414,0
75694,38,85030,3290,6384,266913,360234,0
25470,1,15240,179,10553,187725,360833,0
75694,18,85030,3290,6384,266737,199452,0
29892,26,2848,1028,469,140092,360833,0
82122,38,2658,3,8628,150733,0,0
32847,6,2310,767,607,280429,359921,0
77274,21,16153,2627,9767,0,359921,0
75694,38,15240,178,6384,281987,199452,0
75694,38,15240,178,6384,266737,199414,0
2139,18,16258,2607,722,136127,360833,0
85572,38,15240,178,10346,266913,199522,0
75694,38,65594,2602,6384,180916,199452,0
75694,38,15240,178,6384,0,199414,0
75694,38,85030,3290,6384,266906,199414,0
75694,39,2658,3,6384,149468,199452,0
75694,37,15240,178,6384,136127,199452,0
75694,18,65615,2608,6384,136127,199414,0
85524,21,1,3296,10063,280429,360833,0
85524,21,1,3296,10063,280429,361447,0
75694,26,2308,4,6384,266906,199414,0
75694,18,85030,3290,6384,133765,199414,0
75694,38,15240,178,6384,280429,199414,0
75694,18,2308,4,6384,0,199414,0
2139,18,7268,85,722,136127,359921,0
75694,20,85030,3290,6384,280429,199452,0
75694,38,13539,205,6384,264684,199452,0
29892,2,2658,39,469,281745,360833,0
84618,37,8359,1215,9836,266906,360833,0
75694,38,2308,4,6384,147570,199452,0
75694,18,2658,621,6384,280429,0,0
75694,38,2308,4,6384,151879,199452,0
51483,2,2658,39,1240,136127,360833,0
2139,1,77853,2958,722,280429,199522,0
75694,21,85030,3290,6384,280429,199452,0
64588,21,1,3296,7243,136127,360956,0
29892,33,2659,66,469,280429,199522,0
77713,20,2658,3,7229,133765,199522,0
78614,37,8359,1215,9583,136127,0,0
8895,39,16258,2174,405,280429,359919,0
77274,21,1,3296,9767,133765,360833,0
77713,1,15240,178,7229,0,199414,0
75694,18,65594,2602,6384,266906,199452,0
75694,26,15240,178,6384,273302,199414,0
75694,38,2658,3,6384,180916,199522,0
2139,18,14292,2901,722,273302,359921,0
69398,21,1,3296,4551,280429,0,0
75694,1,15240,178,6384,266913,199505,0
75694,38,15240,178,6384,281885,199414,0
75694,1,65594,2602,6384,266906,199414,0
64588,21,1,3296,7243,136127,199452,0
77713,1,16018,245,7229,190004,199414,0
86431,21,1,3296,10549,280429,199452,0
75694,18,85030,3290,6384,278926,199452,0
75694,37,15240,178,6384,165550,199452,0
75694,1,77853,2958,6384,150230,199414,0
67368,21,1,3296,8784,280429,199414,0
75694,26,15240,178,6384,266031,199414,0
75694,1,15240,178,6384,152418,199452,0
75694,18,13540,204,6384,187798,199414,0
82122,18,2658,3,8628,280693,361320,0
85572,18,13539,205,10346,266906,199452,0
75694,38,2658,3,6384,136127,0,0
30431,21,1,3296,3370,187725,360833,0
75694,38,85030,3290,6384,266906,199452,0
75694,1,15240,178,6384,266913,199452,0
29892,18,13540,1219,469,0,360833,0
75694,38,15240,178,6384,136127,0,0
32847,37,13540,1219,607,136127,359921,0
75694,38,2658,3,6384,189497,199452,0
75694,20,85030,3290,6384,266906,199452,0
75694,38,2658,3,6384,266737,199522,0
7750,33,76969,2923,1589,146453,360765,0
85572,18,85030,3290,10346,280429,199452,0
77274,21,1,3296,9767,187725,359921,0
75694,38,65594,2602,6384,267504,199414,0
75694,1,15240,178,6384,266906,199452,0
75694,38,15240,178,6384,134335,199414,0
85572,18,2308,4,10346,266737,199414,0
75694,20,15240,178,6384,136127,199625,0
70900,21,82008,3129,7303,187725,359919,0
1465,33,2310,767,280,266906,206071,0
75694,38,65594,2602,6384,266913,199414,0
12510,2,82008,3129,82,280429,0,0
8895,39,16258,2174,405,136127,359921,0
43051,33,76969,2923,1653,266737,359919,0
2139,38,16153,1057,722,280429,360833,0
75694,18,2658,621,6384,266906,199452,0
75694,38,85030,3290,6384,133765,199452,0
85572,38,82030,3130,10346,151879,199452,0
28602,21,1,3296,10511,133765,360833,0
85572,18,2501,26,10346,286194,199452,0
29892,33,2658,667,469,136127,360833,0
75694,38,2658,3,6384,190004,199452,0
75694,39,85030,3290,6384,278926,199414,0
85774,20,2310,767,10199,143124,359921,0
75694,18,16018,245,6384,266906,199414,0
75694,38,2658,3,6384,156123,199414,0
67615,39,16153,1057,8973,280429,360956,0
24075,2,2501,1135,4077,187725,360833,0
69398,21,1,3296,4551,136127,199452,0
66839,21,1,3296,4245,140092,199452,0
24075,2,76969,2923,4077,187725,360751,0
75694,26,85030,3290,6384,278926,199452,0
24075,33,2501,1135,4077,187725,359921,0
29892,18,2658,3,469,280429,199452,0
75694,38,85030,3290,6384,136127,199452,0
75694,1,15240,178,6384,266906,199625,0
75694,38,15240,178,6384,151405,199414,0
77274,18,16153,2627,9767,136127,360833,0
25470,21,15240,178,10553,133765,199452,0
3180,21,1,3296,4405,280429,199452,0
76280,6,76969,2923,6719,266031,0,0
75694,18,2658,621,6384,133765,199414,0
75694,18,85030,3290,6384,280429,199414,0
8895,18,85030,3290,405,280429,199452,0
85572,21,82030,3130,10346,0,199452,0
75694,37,15240,178,6384,159142,199452,0
64731,18,15336,2481,10244,266737,360833,0
32847,18,8359,1215,607,136127,359919,0
75694,18,14292,2585,6384,266906,199414,0
75694,18,85030,3290,6384,143147,199414,0
75694,38,15240,178,6384,266913,199452,0
75694,38,15240,178,6384,136127,199414,0
85572,18,2658,621,10346,266737,361287,0
75694,26,15240,178,6384,280429,199414,0
75694,18,85030,3290,6384,280429,199452,0
75694,38,85030,3290,6384,187725,199414,0
75694,38,85030,3290,6384,266737,199414,0
75694,18,85030,3290,6384,136127,199452,0
7750,37,15240,283,1589,280429,360833,0
75694,39,15240,178,6384,280429,0,0
75694,20,15240,178,6384,268269,199452,0
75694,38,85030,3290,6384,147958,199452,0
75694,37,15240,178,6384,280429,199414,0
64588,21,1,3296,7243,136127,359921,0
75694,38,2658,3,6384,161223,199522,0
25470,21,7268,1214,10553,133765,206064,0
77713,1,15240,178,7229,133765,199414,0
32847,38,13540,1219,607,280429,360833,0
86431,18,16153,1057,10549,280429,206071,0
83515,38,2310,767,9115,280429,360831,0
75694,39,2308,4,6384,280429,199522,0
75694,38,15240,178,6384,172725,199522,0
64588,21,1,3296,7243,170061,199452,0
29892,33,2658,39,469,136127,360833,0
75694,38,15240,178,6384,280429,199522,0
75694,18,85030,3290,6384,286194,199452,0
85007,21,1,3296,10397,280429,199452,0
2380,38,16153,2627,6106,187725,360956,0
75694,18,12755,187,6384,146364,199414,0
16664,18,65615,2609,945,282895,360833,0
75694,38,15240,178,6384,132991,199414,0
75694,39,2658,3,6384,280429,199414,0
75694,38,2658,3,6384,143124,199452,0
86431,18,16153,2627,10549,280429,359921,0
75694,38,85030,3290,6384,0,199414,0
77713,38,85030,3290,7229,187725,199414,0
75694,38,85030,3290,6384,136127,199625,0
75694,38,2658,3,6384,166358,199452,0
75694,20,15240,178,6384,178143,199452,0
75694,38,15240,178,6384,189393,199452,0
25470,1,81975,3118,10553,273302,360831,0
31365,18,7268,85,4265,280429,360833,0
75694,20,2310,16,6384,280429,199452,0
29892,33,2658,39,469,266737,360833,0
25470,1,2658,3,10553,265493,199452,0
29892,21,2658,667,469,136127,359919,0
43386,26,85030,3290,8681,266906,199452,0
75694,38,2308,4,6384,266906,199452,0
75694,21,15240,178,6384,136127,199414,0
75694,18,85030,3290,6384,136127,0,0
75694,38,85030,3290,6384,147958,199414,0
75694,38,2658,3,6384,281618,199452,0
7750,39,2658,3,1589,149244,199452,0
82122,1,16951,568,8628,268261,199452,0
75694,38,15240,178,6384,277934,199452,0
75694,38,7268,15,6384,171002,199452,0
75694,38,2658,3,6384,266906,199452,0
85524,21,1,3296,10063,280429,359921,0
86431,38,16258,2607,10549,280429,206070,0
32847,37,8359,1215,607,280429,360956,0
802,18,13539,1217,10223,0,359921,0
82122,21,2658,3,8628,272343,0,0
75694,18,85030,3290,6384,180932,0,0
32847,37,8359,1215,607,136127,360833,0
75694,20,2658,3,6384,133765,199452,0
77713,37,15240,178,7229,273302,199452,0
75694,39,15240,178,6384,266906,199505,0
30431,21,1,3296,3370,136127,359921,0
77274,1,82008,3128,9767,136127,199414,0
75694,21,2310,16,6384,266906,199414,0
75694,38,15240,178,6384,0,199505,0
29892,33,76969,2923,469,280043,360833,0
1465,1,2310,49,280,136127,360833,0
82122,33,15240,178,8628,139766,199452,0
75694,38,15240,178,6384,187580,199452,0
75694,38,2658,3,6384,161223,199452,0
25470,38,2316,76,10553,280429,359921,0
86431,21,1,3296,10549,136127,199452,0
75694,1,15240,178,6384,131411,199452,0
31365,18,76969,2923,4265,280429,359921,0
30431,21,1,3296,3370,136127,359919,0
85572,1,15240,178,10346,0,199452,0
85524,21,1,3296,10063,280429,361301,0
7750,37,15240,179,1589,280429,206070,0
1465,37,2658,667,280,280429,360833,0
12510,2,8358,1034,82,280429,0,0
29892,33,2308,4,469,266271,199452,0
75694,1,15240,178,6384,266737,199452,0
29892,39,15240,179,469,136127,0,0
75694,38,15240,178,6384,133765,199452,0
75694,38,2308,4,6384,133765,199414,0
85007,21,1,3296,10397,136127,199452,0
82122,6,16951,568,8628,268261,199452,0
77713,1,15240,178,7229,0,199452,0
75694,26,15240,178,6384,164681,199452,0
75694,38,85030,3290,6384,133765,199414,0
75694,20,16505,494,6384,266737,199522,0
75694,20,65594,2602,6384,0,199452,0
75694,38,15240,178,6384,270282,199452,0
29892,18,2308,4,469,136127,199522,0
75694,1,82030,3130,6384,133765,199452,0
7750,37,15240,283,1589,266737,359921,0
32847,37,8359,1215,607,280429,360833,0
75694,37,15240,178,6384,280429,199452,0
75694,20,15240,178,6384,189497,199414,0
35702,26,76969,2923,732,0,360833,0
85572,38,2658,3,10346,266906,199522,0
75694,21,65615,2608,6384,277934,199522,0
75694,20,15240,178,6384,266906,199452,0
75694,38,15240,178,6384,180916,199522,0
75694,1,65594,2602,6384,136127,199452,0
17232,21,1,3296,10574,187725,206064,0
75694,33,85030,3290,6384,280429,199452,0
86530,21,76969,2923,10679,280429,360833,0
8895,2,76969,2923,405,187725,360833,0
77713,38,15240,178,7229,280429,199452,0
75694,18,65615,2608,6384,266737,199452,0
12510,21,1,3296,82,136127,0,0
75694,20,2308,4,6384,133765,199414,0
75694,21,82030,3130,6384,136127,199452,0
75694,18,2310,16,6384,136127,199414,0
75694,20,15240,178,6384,286194,199452,0
8895,2,76969,2923,405,280429,359919,0
85572,1,15240,178,10346,282315,199452,0
75694,21,2308,4,6384,136127,199452,0
75694,38,2501,26,6384,273302,199452,0
75694,38,2658,3,6384,265493,199452,0
75694,38,15240,178,6384,136127,199625,0
85007,21,1,3296,10397,280429,360956,0
7750,37,15240,179,1589,187725,360849,0
802,39,15240,179,10223,266906,360833,0
32847,39,76339,2906,607,266913,360833,0
75694,39,2658,3,6384,134237,199452,0
29892,6,2658,667,469,133765,359921,0
75694,37,15240,178,6384,281745,199452,0
64588,21,1,3296,7243,280429,360833,0
75694,39,85030,3290,6384,180932,199414,0
1465,2,76969,2923,280,280429,359919,0
82122,33,2658,3,8628,0,199452,0
75694,38,15240,178,6384,170424,0,0
75694,18,8357,17,6384,180933,199452,0
75694,20,15240,178,6384,151879,199452,0
75694,38,15240,178,6384,266913,199625,0
29892,33,15240,179,469,273302,360833,0
29892,18,2316,76,469,147211,359921,0
75694,39,2658,3,6384,136528,199414,0
75694,37,15240,178,6384,164681,199522,0
25470,1,76339,2906,10553,136127,360833,0
82122,33,2658,3,8628,135885,199452,0
24075,18,16153,1057,4077,187725,360765,0
802,39,15240,179,10223,281745,360833,0
75694,38,2658,3,6384,147570,199452,0
75694,38,15240,178,6384,285749,199522,0
75694,38,2658,3,6384,266913,199414,0
77713,1,15240,178,7229,143792,199452,0
75694,1,85030,3290,6384,183263,199452,0
25470,21,15240,179,10553,136127,360833,0
83515,38,13540,1219,9115,136127,360833,0
75694,38,2658,3,6384,136528,360138,0
85572,18,2308,4,10346,280429,199452,0
75694,38,2501,26,6384,280429,199452,0
83515,38,2310,767,9115,136127,359921,0
2060,33,2658,3,1133,177383,360145,0
75694,39,2658,3,6384,164044,199452,0
75694,39,85030,3290,6384,280429,199452,0
75694,39,85030,3290,6384,267504,199452,0
86555,18,2658,3,10620,268643,199452,0
2139,6,8359,1215,722,136127,359921,0
75694,1,15240,178,6384,136127,199414,0
67615,21,2308,432,8973,280429,360831,0
32847,21,1,3296,607,280429,360833,0
75694,38,2658,3,6384,267504,199452,0
85524,21,1,3296,10063,280429,361329,0
70491,18,65594,2604,4902,136528,360833,0
75694,38,2658,3,6384,187798,199452,0
802,21,1,3296,10223,280429,0,0
32847,38,2310,767,607,280429,360833,0
2139,6,2658,3,722,280429,199522,0
75694,38,2658,3,6384,151879,199452,0
29892,33,76969,2923,469,280429,360956,0
75694,38,2658,3,6384,171002,199452,0
86431,1,76969,2923,10549,136127,360833,0
67368,39,16505,495,8784,136127,360833,0
75694,26,2658,3,6384,133765,199522,0
75694,38,16018,245,6384,151405,199452,0
32847,37,13539,1217,607,266906,360833,0
70491,1,15336,2117,4902,280429,360788,0
32847,38,13540,1219,607,273302,360833,0
75694,38,15240,178,6384,177151,199522,0
75694,38,15240,178,6384,266906,199522,0
75694,18,82562,3149,6384,0,199452,0
75694,1,65594,2602,6384,0,199414,0
3180,37,2308,432,4405,187725,359921,0
75694,26,2658,3,6384,136127,199452,0
75694,18,85030,3290,6384,151879,199414,0
75694,38,65594,2602,6384,266906,199452,0
75694,18,65615,2608,6384,189393,199414,0
29892,6,2308,4,469,266271,199452,0
75694,21,13540,204,6384,266906,199414,0
86321,1,2308,432,10517,136127,359921,0
77713,37,15240,178,7229,280429,199452,0
75694,38,15240,178,6384,266913,199414,0
7750,18,2658,3,1589,183395,199452,0
75694,38,2658,3,6384,180916,199452,0
29892,33,13540,1219,469,280429,359921,0
69398,21,1,3296,4551,280429,199586,0
78614,37,8358,1034,9583,136127,359921,0
24075,1,16153,1057,4077,273302,360956,0
75694,20,82030,3130,6384,266737,199452,0
30431,21,1,3296,3370,136127,206070,0
75694,38,15240,178,6384,0,199452,0
75694,38,15240,178,6384,151402,199452,0
77538,1,13540,220,7144,280429,0,0
75694,18,85030,3290,6384,266738,199452,0
29892,33,2501,1135,469,136127,360833,0
75694,38,15240,178,6384,273568,199414,0
1518,37,15240,179,577,280429,0,0
83515,38,2310,767,9115,280429,359921,0
75694,37,15240,178,6384,147570,199452,0
85524,21,1,3296,10063,280429,199505,0
67368,21,1,3296,8784,266906,199414,0
30431,21,1,3296,3370,273302,359921,0
7750,33,76969,2923,1589,186936,359919,0
75694,20,85030,3290,6384,133765,199452,0
66066,18,2658,3,6630,0,199452,0
26329,1,16153,1057,6031,136127,360833,0
7750,2,65594,2604,1589,282895,360956,0
7750,6,76969,2923,1589,151879,359919,0
75694,38,2308,4,6384,180916,199452,0
75694,1,15240,178,6384,269342,199414,0
75694,20,15240,178,6384,180931,199522,0
75694,38,65594,2602,6384,187725,199452,0
3180,33,15240,179,4405,136127,359921,0
75694,38,85030,3290,6384,266913,199625,0
75694,38,85030,3290,6384,267504,199452,0
85572,21,15240,178,10346,153317,199414,0
7750,18,13540,1219,1589,168516,360833,0
86321,18,16153,2721,10517,280429,360956,0
7750,18,76969,2923,1589,139145,360833,0
85572,18,65615,2608,10346,136127,199452,0
75694,1,82030,3130,6384,266913,199452,0
69398,21,1,3296,4551,280429,199452,0
77713,38,15240,178,7229,266738,199452,0
29892,33,2658,39,469,280429,359919,0
7750,1,13539,214,1589,280429,360788,0
70491,37,65615,2612,4902,136127,360833,0
24075,33,2310,87,4077,280429,359919,0
26329,18,2310,767,6031,280429,360849,0
75694,38,2658,3,6384,136127,206070,0
